date,open,high,low,close,volume
2024-01-02,4760.0,4778.0,4740.0,4742.8,1000000
2024-01-03,4742.8,4765.0,4730.0,4704.8,1100000
2024-01-04,4704.8,4720.0,4680.0,4697.0,1050000
2024-01-05,4697.0,4725.0,4688.0,4697.0,980000
2024-01-08,4697.0,4760.0,4690.0,4763.5,1200000
2024-01-09,4763.5,4780.0,4745.0,4756.5,1150000
2024-01-10,4756.5,4785.0,4740.0,4783.5,1300000
2024-01-11,4783.5,4790.0,4750.0,4780.0,1250000
2024-01-12,4780.0,4820.0,4770.0,4783.8,1350000
2024-01-16,4783.8,4800.0,4740.0,4765.0,1180000
2024-01-17,4765.0,4780.0,4710.0,4739.0,1270000
2024-01-18,4739.0,4780.0,4720.0,4780.9,1320000
2024-01-19,4780.9,4840.0,4770.0,4839.8,1450000
2024-01-22,4839.8,4870.0,4820.0,4851.8,1400000
2024-01-23,4851.8,4860.0,4810.0,4864.6,1380000
2024-01-24,4864.6,4880.0,4840.0,4868.6,1360000
2024-01-25,4868.6,4890.0,4845.0,4894.2,1410000
2024-01-26,4894.2,4900.0,4850.0,4890.9,1370000
2024-01-29,4890.9,4920.0,4880.0,4927.9,1490000
2024-01-30,4927.9,4930.0,4890.0,4924.7,1420000
